Driver,LapNumber,LapTime,TyreLife,Compound,PitOutTime
VER,1.0,0 days 00:01:31.585000,1.0,SOFT,
VER,2.0,0 days 00:01:49.972000,2.0,SOFT,
VER,3.0,0 days 00:01:48.658000,1.0,INTERMEDIATE,0 days 01:05:45.581000
VER,4.0,0 days 00:01:25.251000,2.0,INTERMEDIATE,
VER,5.0,0 days 00:01:23.461000,3.0,INTERMEDIATE,
VER,6.0,0 days 00:01:22.503000,4.0,INTERMEDIATE,
VER,7.0,0 days 00:01:22.116000,5.0,INTERMEDIATE,
VER,8.0,0 days 00:01:23.232000,6.0,INTERMEDIATE,
VER,9.0,0 days 00:01:23.313000,7.0,INTERMEDIATE,
VER,10.0,0 days 00:01:23.698000,8.0,INTERMEDIATE,
VER,11.0,0 days 00:01:27.017000,9.0,INTERMEDIATE,
VER,12.0,0 days 00:01:38.034000,1.0,SOFT,0 days 01:18:43.770000
VER,13.0,0 days 00:01:18.775000,2.0,SOFT,
VER,14.0,0 days 00:01:17.550000,3.0,SOFT,
VER,15.0,0 days 00:01:16.930000,4.0,SOFT,
VER,16.0,0 days 00:01:26.915000,5.0,SOFT,
VER,17.0,0 days 00:02:02.217000,6.0,SOFT,
VER,18.0,0 days 00:02:08.315000,7.0,SOFT,
VER,19.0,0 days 00:01:59.845000,8.0,SOFT,
VER,20.0,0 days 00:01:55.257000,9.0,SOFT,
VER,21.0,0 days 00:02:07.622000,10.0,SOFT,
VER,22.0,0 days 00:01:16.305000,11.0,SOFT,
VER,23.0,0 days 00:01:16.085000,12.0,SOFT,
VER,24.0,0 days 00:01:15.783000,13.0,SOFT,
VER,25.0,0 days 00:01:15.664000,14.0,SOFT,
VER,26.0,0 days 00:01:15.659000,15.0,SOFT,
VER,27.0,0 days 00:01:15.681000,16.0,SOFT,
VER,28.0,0 days 00:01:15.499000,17.0,SOFT,
VER,29.0,0 days 00:01:15.374000,18.0,SOFT,
VER,30.0,0 days 00:01:15.510000,19.0,SOFT,
VER,31.0,0 days 00:01:15.561000,20.0,SOFT,
VER,32.0,0 days 00:01:15.414000,21.0,SOFT,
VER,33.0,0 days 00:01:15.342000,22.0,SOFT,
VER,34.0,0 days 00:01:15.272000,23.0,SOFT,
VER,35.0,0 days 00:01:15.275000,24.0,SOFT,
VER,36.0,0 days 00:01:15.221000,25.0,SOFT,
VER,37.0,0 days 00:01:15.167000,26.0,SOFT,
VER,38.0,0 days 00:01:15.071000,27.0,SOFT,
VER,39.0,0 days 00:01:15.193000,28.0,SOFT,
VER,40.0,0 days 00:01:15.132000,29.0,SOFT,
VER,41.0,0 days 00:01:15.306000,30.0,SOFT,
VER,42.0,0 days 00:01:15.333000,31.0,SOFT,
VER,43.0,0 days 00:01:15.366000,32.0,SOFT,
VER,44.0,0 days 00:01:15.593000,33.0,SOFT,
VER,45.0,0 days 00:01:15.559000,34.0,SOFT,
VER,46.0,0 days 00:01:15.510000,35.0,SOFT,
VER,47.0,0 days 00:01:15.575000,36.0,SOFT,
VER,48.0,0 days 00:01:15.408000,37.0,SOFT,
VER,49.0,0 days 00:01:18.531000,38.0,SOFT,
VER,50.0,0 days 00:01:32.004000,2.0,SOFT,0 days 02:11:11.011000
VER,51.0,0 days 00:01:13.941000,3.0,SOFT,
VER,52.0,0 days 00:01:14.282000,4.0,SOFT,
VER,53.0,0 days 00:01:14.272000,5.0,SOFT,
VER,54.0,0 days 00:01:14.256000,6.0,SOFT,
VER,55.0,0 days 00:01:14.415000,7.0,SOFT,
VER,56.0,0 days 00:01:14.410000,8.0,SOFT,
VER,57.0,0 days 00:01:14.096000,9.0,SOFT,
VER,58.0,0 days 00:01:13.889000,10.0,SOFT,
VER,59.0,0 days 00:01:13.943000,11.0,SOFT,
VER,60.0,0 days 00:01:14.502000,12.0,SOFT,
VER,61.0,0 days 00:01:24.682000,13.0,SOFT,
VER,62.0,0 days 00:01:42.950000,13.0,INTERMEDIATE,0 days 02:26:30.432000
VER,63.0,0 days 00:01:32.568000,14.0,INTERMEDIATE,
VER,64.0,0 days 00:02:25.016000,1.0,WET,0 days 02:29:46.945000
VER,65.0,,5.0,INTERMEDIATE,0 days 03:13:14.195000
VER,66.0,0 days 00:02:18.023000,6.0,INTERMEDIATE,
VER,67.0,0 days 00:01:25.536000,7.0,INTERMEDIATE,
VER,68.0,0 days 00:01:22.867000,8.0,INTERMEDIATE,
VER,69.0,0 days 00:01:21.759000,9.0,INTERMEDIATE,
VER,70.0,0 days 00:01:20.865000,10.0,INTERMEDIATE,
VER,71.0,0 days 00:01:21.024000,11.0,INTERMEDIATE,
VER,72.0,0 days 00:01:20.915000,12.0,INTERMEDIATE,
GAS,1.0,0 days 00:01:43.893000,1.0,SOFT,
GAS,2.0,0 days 00:01:54.457000,7.0,INTERMEDIATE,0 days 01:04:16.161000
GAS,3.0,0 days 00:01:31.466000,8.0,INTERMEDIATE,
GAS,4.0,0 days 00:01:25.008000,9.0,INTERMEDIATE,
GAS,5.0,0 days 00:01:23.834000,10.0,INTERMEDIATE,
GAS,6.0,0 days 00:01:24.920000,11.0,INTERMEDIATE,
GAS,7.0,0 days 00:01:23.890000,12.0,INTERMEDIATE,
GAS,8.0,0 days 00:01:24.345000,13.0,INTERMEDIATE,
GAS,9.0,0 days 00:01:25.018000,14.0,INTERMEDIATE,
GAS,10.0,0 days 00:01:25.224000,15.0,INTERMEDIATE,
GAS,11.0,0 days 00:01:28.328000,16.0,INTERMEDIATE,
GAS,12.0,0 days 00:01:38.136000,1.0,SOFT,0 days 01:18:53.630000
GAS,13.0,0 days 00:01:17.151000,2.0,SOFT,
GAS,14.0,0 days 00:01:17.201000,3.0,SOFT,
GAS,15.0,0 days 00:01:16.987000,4.0,SOFT,
GAS,16.0,0 days 00:01:26.577000,5.0,SOFT,
GAS,17.0,0 days 00:01:59.394000,6.0,SOFT,
GAS,18.0,0 days 00:02:07.780000,7.0,SOFT,
GAS,19.0,0 days 00:01:59.677000,8.0,SOFT,
GAS,20.0,0 days 00:01:55.729000,9.0,SOFT,
GAS,21.0,0 days 00:02:04.461000,10.0,SOFT,
GAS,22.0,0 days 00:01:17.477000,11.0,SOFT,
GAS,23.0,0 days 00:01:16.854000,12.0,SOFT,
GAS,24.0,0 days 00:01:16.266000,13.0,SOFT,
GAS,25.0,0 days 00:01:16.377000,14.0,SOFT,
GAS,26.0,0 days 00:01:16.380000,15.0,SOFT,
GAS,27.0,0 days 00:01:16.388000,16.0,SOFT,
GAS,28.0,0 days 00:01:15.901000,17.0,SOFT,
GAS,29.0,0 days 00:01:16.087000,18.0,SOFT,
GAS,30.0,0 days 00:01:16.095000,19.0,SOFT,
GAS,31.0,0 days 00:01:16.068000,20.0,SOFT,
GAS,32.0,0 days 00:01:16.366000,21.0,SOFT,
GAS,33.0,0 days 00:01:15.972000,22.0,SOFT,
GAS,34.0,0 days 00:01:16.059000,23.0,SOFT,
GAS,35.0,0 days 00:01:15.830000,24.0,SOFT,
GAS,36.0,0 days 00:01:15.835000,25.0,SOFT,
GAS,37.0,0 days 00:01:15.862000,26.0,SOFT,
GAS,38.0,0 days 00:01:15.626000,27.0,SOFT,
GAS,39.0,0 days 00:01:15.640000,28.0,SOFT,
GAS,40.0,0 days 00:01:15.654000,29.0,SOFT,
GAS,41.0,0 days 00:01:15.762000,30.0,SOFT,
GAS,42.0,0 days 00:01:15.804000,31.0,SOFT,
GAS,43.0,0 days 00:01:15.632000,32.0,SOFT,
GAS,44.0,0 days 00:01:15.749000,33.0,SOFT,
GAS,45.0,0 days 00:01:15.758000,34.0,SOFT,
GAS,46.0,0 days 00:01:19.173000,35.0,SOFT,
GAS,47.0,0 days 00:01:39.375000,1.0,SOFT,0 days 02:07:47.202000
GAS,48.0,0 days 00:01:15.248000,2.0,SOFT,
GAS,49.0,0 days 00:01:14.509000,3.0,SOFT,
GAS,50.0,0 days 00:01:15.878000,4.0,SOFT,
GAS,51.0,0 days 00:01:15.014000,5.0,SOFT,
GAS,52.0,0 days 00:01:15.059000,6.0,SOFT,
GAS,53.0,0 days 00:01:14.836000,7.0,SOFT,
GAS,54.0,0 days 00:01:14.675000,8.0,SOFT,
GAS,55.0,0 days 00:01:14.441000,9.0,SOFT,
GAS,56.0,0 days 00:01:14.925000,10.0,SOFT,
GAS,57.0,0 days 00:01:15.081000,11.0,SOFT,
GAS,58.0,0 days 00:01:15.486000,12.0,SOFT,
GAS,59.0,0 days 00:01:14.991000,13.0,SOFT,
GAS,60.0,0 days 00:01:20.355000,14.0,SOFT,
GAS,61.0,0 days 00:01:40.395000,1.0,INTERMEDIATE,0 days 02:25:41.699000
GAS,62.0,0 days 00:01:22.681000,2.0,INTERMEDIATE,
GAS,63.0,0 days 00:01:38.918000,3.0,INTERMEDIATE,
GAS,64.0,,4.0,INTERMEDIATE,
GAS,65.0,,5.0,INTERMEDIATE,0 days 03:13:23.351000
GAS,66.0,0 days 00:02:16.096000,6.0,INTERMEDIATE,
GAS,67.0,0 days 00:01:27.581000,7.0,INTERMEDIATE,
GAS,68.0,0 days 00:01:23.577000,8.0,INTERMEDIATE,
GAS,69.0,0 days 00:01:21.892000,9.0,INTERMEDIATE,
GAS,70.0,0 days 00:01:22.024000,10.0,INTERMEDIATE,
GAS,71.0,0 days 00:01:21.517000,11.0,INTERMEDIATE,
